id,categoria,material,ancho_m,alto_m,peso_kg,tiempo_fabricacion_h,precio,defecto
M211,mesa,mixto,1.01,0.76,27.7,5,464000,si
M070,silla,tela,0.6,1.03,10.1,2,150000,si
M321,biblioteca,madera,1.02,1.8,21.1,7,282000,no
M154,escritorio,metal,1.47,0.81,26.1,4,447000,no
M408,sofa,tela,1.92,0.94,67.5,16,929000,si
M468,cama,madera,1.83,0.43,34.9,8,558000,no
M077,escritorio,madera,1.58,0.73,21.1,8,399000,no
M113,escritorio,metal,1.23,0.81,19.7,4,366000,no
M091,escritorio,mixto,1.59,0.72,27.2,4,437000,si
M082,escritorio,mixto,1.18,0.74,23.3,9,426000,no
M289,estante,mixto,1.1,1.92,22.4,6,187000,no
M329,biblioteca,mixto,1.09,2.18,29.9,9,268000,no
M238,estante,madera,0.69,1.62,10.2,5,174000,no
M242,estante,metal,0.83,1.65,22.8,5,210000,no
M341,biblioteca,madera,0.92,1.98,24.6,8,243000,no
M493,cama,mixto,1.49,0.4,58.4,12,852000,si
M432,cama,madera,1.8,0.53,42.1,10,575000,si
M075,silla,metal,0.47,0.86,11.5,3,120000,no
M308,biblioteca,madera,1.11,2.16,32.7,10,357000,no
M086,escritorio,madera,1.0,0.75,23.9,8,385000,no
M051,silla,tela,0.63,1.06,5.5,3,132000,si
M349,biblioteca,madera,1.2,1.86,35.0,11,280000,no
M385,sofa,tela,2.53,0.82,42.3,13,847000,si
M015,silla,tela,0.49,0.81,7.6,5,110000,no
M089,escritorio,metal,1.25,0.77,19.0,7,357000,no
M320,biblioteca,madera,1.1,1.89,32.6,10,351000,no
M203,mesa,madera,1.79,0.75,29.8,5,398000,no
M372,sofa,madera,2.11,0.94,54.9,10,861000,si
M404,sofa,tela,2.31,0.87,42.0,16,711000,si
M330,biblioteca,mixto,1.09,1.89,21.6,8,265000,si
M163,mesa,metal,1.22,0.76,21.2,8,483000,no
M479,cama,madera,1.85,0.46,40.9,10,661000,si
M299,estante,metal,0.93,1.65,17.5,3,199000,no
M296,estante,metal,0.82,1.9,18.7,5,208000,no
M481,cama,metal,1.69,0.48,35.0,13,799000,no
M351,biblioteca,madera,0.86,2.17,33.8,9,339000,no
M480,cama,mixto,1.1,0.41,41.5,10,770000,no
M007,silla,madera,0.49,0.95,6.2,2,114000,no
M209,mesa,madera,1.33,0.74,35.2,8,439000,si
M360,biblioteca,madera,0.8,1.99,39.2,6,337000,si
M056,silla,metal,0.48,0.82,11.0,2,129000,no
M101,escritorio,mixto,1.53,0.79,15.3,8,365000,no
M496,cama,madera,1.72,0.43,54.1,7,756000,si
M284,estante,mixto,0.69,1.76,13.2,5,157000,no
M220,mesa,metal,1.45,0.77,37.4,9,549000,no
M052,silla,metal,0.55,0.82,6.8,4,114000,no
M245,estante,madera,0.86,1.59,24.1,5,182000,no
M454,cama,madera,1.04,0.4,33.3,11,642000,no
M207,mesa,metal,1.38,0.75,36.1,7,514000,no
M350,biblioteca,metal,1.14,2.09,26.8,11,289000,no
M378,sofa,tela,2.32,0.94,58.2,15,976000,si
M436,cama,metal,1.19,0.37,47.4,13,826000,no
M022,silla,tela,0.6,1.01,7.9,4,105000,si
M456,cama,metal,1.21,0.39,45.1,10,746000,no
M442,cama,mixto,1.61,0.41,33.7,9,783000,no
M325,biblioteca,metal,1.19,2.06,26.3,11,380000,no
M395,sofa,tela,2.58,0.85,78.8,15,1057000,no
M042,silla,tela,0.46,0.85,9.8,4,138000,no
M014,silla,metal,0.52,0.91,7.4,5,150000,no
M462,cama,mixto,1.48,0.5,51.9,7,865000,no
M232,estante,madera,0.99,1.51,22.3,4,183000,no
M369,sofa,tela,2.64,0.8,60.4,15,912000,si
M083,escritorio,metal,1.18,0.78,20.1,5,350000,no
M324,biblioteca,mixto,0.84,2.15,26.3,11,253000,si
M448,cama,madera,1.72,0.38,34.2,12,741000,no
M178,mesa,madera,1.63,0.74,20.0,10,425000,no
M441,cama,madera,1.95,0.43,53.5,8,745000,no
M005,silla,metal,0.45,0.86,11.9,2,160000,no
M155,escritorio,metal,1.36,0.73,19.9,9,445000,no
M026,silla,mixto,0.59,0.97,6.4,2,141000,no
M138,escritorio,metal,1.03,0.77,26.2,5,366000,no
M094,escritorio,mixto,1.0,0.79,24.1,5,385000,no
M304,biblioteca,madera,0.97,1.84,36.0,8,269000,si
M196,mesa,madera,1.26,0.75,29.6,7,485000,no
M332,biblioteca,mixto,0.88,1.91,28.5,9,339000,no
M236,estante,madera,0.86,1.69,14.1,7,135000,no
M034,silla,tela,0.5,1.0,5.5,3,106000,si
M037,silla,tela,0.57,1.09,6.1,2,138000,si
M038,silla,metal,0.51,1.02,6.0,2,154000,no
M274,estante,madera,0.67,1.71,21.9,6,141000,no
M405,sofa,tela,2.06,0.88,45.4,17,675000,no
M338,biblioteca,madera,0.99,2.2,30.5,8,347000,no
M158,mesa,metal,1.06,0.76,22.1,6,506000,no
M197,mesa,metal,1.45,0.73,32.2,10,484000,no
M068,silla,tela,0.48,1.03,7.0,3,106000,no
M043,silla,tela,0.53,0.88,6.6,3,100000,no
M006,silla,tela,0.65,0.91,6.5,3,122000,no
M104,escritorio,metal,1.03,0.75,25.0,5,417000,no
M368,sofa,tela,2.39,0.86,41.2,10,791000,si
M250,estante,metal,0.61,1.59,20.3,5,186000,no
M111,escritorio,metal,1.28,0.75,22.8,8,434000,no
M219,mesa,madera,1.19,0.73,26.2,10,353000,no
M247,estante,mixto,0.76,1.52,13.9,4,155000,no
M067,silla,tela,0.58,1.1,5.1,5,139000,si
M119,escritorio,metal,1.46,0.8,20.1,9,407000,no
M494,cama,mixto,1.19,0.48,32.0,9,690000,no
M285,estante,metal,0.63,1.78,14.9,4,190000,no
M391,sofa,tela,2.45,0.95,59.4,10,868000,si
M256,estante,mixto,1.01,1.92,12.8,7,163000,no
M030,silla,tela,0.58,1.09,8.7,5,113000,no
M134,escritorio,madera,1.12,0.8,21.6,4,303000,no
M471,cama,madera,1.49,0.42,58.3,8,648000,si
M173,mesa,madera,1.44,0.73,33.3,6,487000,no
M439,cama,mixto,1.66,0.37,59.6,7,861000,no
M401,sofa,tela,2.72,0.9,48.9,15,786000,si
M394,sofa,tela,2.49,0.91,44.6,18,787000,si
M467,cama,madera,1.24,0.54,43.9,11,725000,no
M227,estante,madera,1.17,1.51,22.0,5,194000,no
M380,sofa,tela,2.49,0.91,53.2,10,800000,no
M318,biblioteca,mixto,0.97,2.0,33.8,9,314000,no
M118,escritorio,metal,1.1,0.81,27.3,5,420000,no
M125,escritorio,metal,1.19,0.73,18.7,5,458000,no
M152,escritorio,madera,1.46,0.8,24.1,8,340000,si
M008,silla,tela,0.47,0.93,5.6,4,114000,si
M023,silla,tela,0.49,0.96,11.6,3,145000,no
M071,silla,tela,0.53,1.07,9.2,3,147000,si
M475,cama,metal,1.77,0.43,35.0,11,617000,no
M110,escritorio,tela,1.37,0.72,23.5,9,460000,no
M050,silla,madera,0.48,1.02,6.7,4,117000,no
M243,estante,mixto,0.76,1.67,12.8,5,176000,no
M185,mesa,metal,1.59,0.76,28.6,10,466000,no
M172,mesa,metal,0.93,0.76,34.3,9,527000,no
M263,estante,mixto,1.08,1.64,22.7,6,191000,no
M370,sofa,mixto,2.7,0.98,73.3,18,889000,no
M346,biblioteca,madera,1.03,2.15,38.2,11,335000,no
M254,estante,madera,0.63,1.62,16.3,7,173000,si
M175,mesa,madera,0.95,0.75,29.8,6,481000,no
M268,estante,metal,1.11,1.69,17.0,7,189000,no
M147,escritorio,madera,1.22,0.81,24.5,7,427000,no
M190,mesa,mixto,0.96,0.77,34.3,9,407000,no
M291,estante,madera,0.76,1.74,14.6,5,144000,no
M430,sofa,tela,2.39,0.94,58.9,17,836000,si
M159,mesa,mixto,1.41,0.77,40.2,5,553000,no
M389,sofa,tela,2.6,1.0,68.1,17,969000,si
M062,silla,tela,0.61,0.84,5.1,5,137000,no
M096,escritorio,madera,1.49,0.74,24.4,9,370000,no
M027,silla,tela,0.48,0.94,5.9,3,136000,no
M004,silla,metal,0.52,1.08,8.7,2,136000,no
M047,silla,tela,0.6,0.84,11.5,2,153000,no
M112,escritorio,madera,1.47,0.76,29.5,9,345000,no
M260,estante,madera,1.1,1.59,17.9,7,155000,no
M347,biblioteca,madera,1.13,2.08,37.4,9,283000,si
M342,biblioteca,madera,1.11,2.03,28.2,12,282000,no
M424,sofa,tela,2.07,0.84,42.7,17,792000,si
M010,silla,madera,0.48,1.08,8.3,2,136000,no
M390,sofa,tela,2.16,0.91,46.0,13,753000,si
M319,biblioteca,madera,0.88,2.11,28.8,9,240000,no
M146,escritorio,metal,1.4,0.81,24.0,4,484000,no
M469,cama,metal,1.2,0.47,43.5,8,669000,no
M080,escritorio,tela,1.1,0.74,17.6,8,377000,si
M365,biblioteca,mixto,0.84,2.01,31.9,10,274000,no
M307,biblioteca,madera,0.8,1.96,20.8,11,249000,si
M403,sofa,tela,2.22,0.86,59.2,13,836000,si
M286,estante,mixto,0.71,1.9,18.5,3,175000,no
M452,cama,mixto,1.39,0.49,42.1,14,627000,no
M326,biblioteca,madera,0.83,1.96,33.7,10,329000,no
M040,silla,tela,0.48,0.93,6.8,2,100000,no
M323,biblioteca,madera,0.84,2.0,26.7,10,261000,no
M074,silla,madera,0.45,1.02,10.1,2,103000,no
M093,escritorio,metal,1.43,0.81,21.8,9,432000,no
M165,mesa,madera,0.92,0.73,26.2,10,358000,no
M143,escritorio,metal,1.58,0.76,29.0,7,514000,no
M234,estante,madera,1.16,1.92,13.1,5,142000,no
M466,cama,tela,1.27,0.42,40.9,12,724000,no
M400,sofa,tela,2.27,0.95,70.9,18,1013000,si
M357,biblioteca,madera,0.85,2.05,22.7,12,261000,no
M048,silla,metal,0.46,0.98,7.4,3,140000,no
M412,sofa,tela,2.31,0.94,77.1,14,792000,si
M046,silla,madera,0.49,1.07,6.3,4,133000,no
M084,escritorio,madera,1.28,0.75,23.2,7,393000,no
M116,escritorio,madera,1.12,0.72,29.1,5,411000,no
M465,cama,metal,1.45,0.36,43.5,14,683000,no
M205,mesa,madera,1.8,0.73,24.6,5,401000,si
M133,escritorio,metal,1.58,0.79,18.1,8,359000,no
M132,escritorio,metal,1.52,0.72,29.1,6,492000,no
M435,cama,madera,1.34,0.43,44.2,7,731000,si
M044,silla,madera,0.51,0.92,8.6,3,115000,si
M298,estante,mixto,0.71,1.54,19.5,4,143000,si
M174,mesa,mixto,1.33,0.73,45.0,9,584000,no
M269,estante,madera,0.7,1.72,11.6,3,180000,no
M024,silla,metal,0.5,1.06,7.9,4,114000,no
M348,biblioteca,madera,0.84,2.19,21.5,11,327000,no
M317,biblioteca,metal,0.87,2.1,21.0,8,343000,no
M251,estante,mixto,1.13,1.66,18.3,4,206000,no
M376,sofa,tela,1.85,0.97,71.4,14,777000,si
M375,sofa,tela,2.43,0.85,59.8,11,846000,no
M192,mesa,metal,1.3,0.76,24.8,6,443000,no
M362,biblioteca,mixto,1.06,2.15,20.7,7,283000,no
M293,estante,metal,0.65,1.73,18.7,7,164000,si
M142,escritorio,metal,1.27,0.73,23.7,6,372000,no
M428,sofa,madera,1.93,0.91,68.0,10,693000,no
M025,silla,metal,0.51,0.97,11.7,5,169000,no
M449,cama,mixto,1.14,0.51,50.8,14,733000,si
M305,biblioteca,madera,0.85,1.98,39.8,9,254000,si
M002,silla,madera,0.56,1.01,5.6,5,125000,no
M170,mesa,madera,1.79,0.75,21.1,10,480000,no
M114,escritorio,madera,1.56,0.77,29.3,4,418000,no
M017,silla,tela,0.5,0.89,10.3,2,124000,no
M129,escritorio,tela,1.56,0.71,18.8,4,331000,si
M187,mesa,metal,1.36,0.75,42.2,10,504000,no
M081,escritorio,madera,1.36,0.74,16.9,4,338000,no
M241,estante,madera,1.09,1.79,23.4,5,209000,no
M485,cama,madera,1.15,0.4,54.2,13,695000,no
M115,escritorio,metal,1.57,0.79,18.8,6,364000,no
M281,estante,madera,0.89,1.95,10.5,5,152000,no
M237,estante,mixto,0.96,1.66,14.8,5,200000,no
M282,estante,mixto,1.15,1.84,12.4,3,174000,no
M267,estante,mixto,1.12,1.86,24.2,4,228000,no
M371,sofa,madera,2.45,0.89,43.7,10,914000,si
M426,sofa,tela,2.78,0.83,51.0,14,966000,si
M109,escritorio,madera,1.33,0.78,23.9,9,349000,no
M150,escritorio,metal,1.54,0.73,24.3,4,409000,no
M065,silla,tela,0.52,0.98,9.9,2,135000,no
M036,silla,metal,0.47,1.03,9.5,3,154000,no
M334,biblioteca,madera,1.15,1.8,29.6,7,252000,no
M248,estante,madera,0.87,1.72,19.2,5,168000,no
M399,sofa,tela,2.15,0.84,71.4,14,886000,no
M177,mesa,mixto,0.99,0.75,35.9,10,491000,no
M447,cama,mixto,1.02,0.38,43.7,10,573000,no
M060,silla,metal,0.56,0.82,5.2,4,112000,no
M224,mesa,madera,1.4,0.77,33.4,8,383000,no
M106,escritorio,metal,1.04,0.73,24.4,5,402000,no
M199,mesa,madera,1.22,0.74,27.2,7,493000,no
M195,mesa,madera,0.98,0.76,42.3,7,449000,si
M409,sofa,tela,2.42,0.84,40.6,16,731000,si
M079,escritorio,metal,1.4,0.73,18.1,9,408000,no
M499,cama,madera,1.73,0.45,53.7,9,635000,no
M072,silla,metal,0.62,0.88,6.8,3,119000,no
M437,cama,madera,1.19,0.49,57.6,11,557000,si
M453,cama,madera,1.71,0.4,31.0,9,720000,no
M206,mesa,madera,1.38,0.76,30.1,10,403000,no
M472,cama,metal,1.17,0.41,37.8,13,737000,no
M140,escritorio,mixto,1.08,0.78,27.6,8,458000,si
M009,silla,metal,0.53,1.07,11.8,3,151000,no
M455,cama,mixto,1.13,0.48,43.3,9,595000,no
M053,silla,tela,0.64,0.93,7.2,2,112000,no
M277,estante,madera,1.01,1.54,11.2,6,144000,no
M306,biblioteca,madera,1.03,1.81,38.5,6,286000,no
M464,cama,tela,1.52,0.49,55.5,12,678000,si
M208,mesa,metal,0.99,0.74,24.6,8,400000,no
M388,sofa,tela,2.42,0.91,61.3,14,955000,si
M223,mesa,madera,1.55,0.78,23.2,6,462000,si
M171,mesa,mixto,1.67,0.76,31.8,6,563000,no
M407,sofa,tela,2.25,0.86,76.0,13,1013000,si
M157,mesa,mixto,0.94,0.73,40.5,8,533000,no
M446,cama,madera,1.93,0.43,59.3,10,652000,si
M001,silla,madera,0.53,0.86,6.3,3,98000,no
M102,escritorio,madera,1.22,0.72,19.0,5,366000,no
M336,biblioteca,mixto,1.01,2.13,37.3,7,374000,no
M382,sofa,tela,2.04,0.82,45.5,15,836000,si
M149,escritorio,madera,1.44,0.76,23.6,7,349000,no
M497,cama,tela,1.76,0.54,46.1,7,673000,no
M161,mesa,mixto,1.68,0.77,28.3,8,499000,no
M016,silla,metal,0.5,1.02,5.7,4,147000,no
M470,cama,mixto,1.95,0.4,32.2,13,588000,no
M273,estante,mixto,1.16,1.94,24.6,6,227000,no
M054,silla,tela,0.58,0.8,8.7,3,108000,si
M416,sofa,tela,2.42,0.99,79.0,18,977000,si
M445,cama,metal,1.53,0.37,38.1,9,859000,no
M189,mesa,metal,1.21,0.74,26.0,7,555000,no
M167,mesa,mixto,1.33,0.77,30.3,8,534000,si
M011,silla,madera,0.6,0.98,7.9,2,113000,no
M179,mesa,mixto,1.29,0.77,39.5,10,464000,no
M331,biblioteca,metal,1.13,2.0,35.8,12,359000,no
M210,mesa,madera,1.01,0.76,23.9,7,472000,no
M057,silla,metal,0.56,1.03,5.2,3,125000,no
M182,mesa,mixto,1.49,0.74,33.3,9,485000,no
M130,escritorio,madera,1.0,0.77,17.9,7,307000,no
M100,escritorio,metal,1.18,0.7,17.6,4,369000,no
M278,estante,mixto,0.77,1.93,18.0,7,173000,no
M176,mesa,madera,1.03,0.74,28.7,6,429000,no
M484,cama,madera,1.95,0.51,38.5,9,708000,si
M280,estante,madera,0.81,1.93,17.1,4,187000,no
M483,cama,madera,1.5,0.46,60.0,14,802000,si
M358,biblioteca,madera,1.01,2.07,31.5,9,312000,no
M183,mesa,madera,0.99,0.77,25.6,10,484000,no
M297,estante,metal,0.81,1.76,19.0,6,158000,no
M180,mesa,mixto,1.55,0.74,37.8,9,541000,no
M003,silla,madera,0.61,1.04,10.8,3,137000,no
M427,sofa,tela,1.95,0.9,50.3,15,764000,no
M033,silla,metal,0.51,1.05,5.4,5,118000,no
M131,escritorio,tela,1.59,0.79,18.2,7,387000,si
M214,mesa,madera,0.93,0.72,29.9,5,351000,no
M272,estante,madera,0.61,1.83,13.2,4,182000,no
M364,biblioteca,madera,1.0,2.13,37.1,11,315000,si
M136,escritorio,madera,1.1,0.75,15.7,5,353000,no
M201,mesa,metal,1.43,0.73,20.7,8,513000,no
M290,estante,madera,0.99,1.53,11.3,3,176000,no
M188,mesa,mixto,1.08,0.76,27.7,8,373000,no
M420,sofa,tela,2.8,0.95,54.5,14,907000,si
M222,mesa,metal,1.49,0.76,43.7,10,621000,no
M488,cama,madera,1.19,0.54,55.4,11,586000,si
M078,escritorio,metal,1.33,0.74,20.2,4,453000,no
M417,sofa,tela,2.02,0.85,71.4,18,800000,si
M374,sofa,tela,2.63,0.88,50.4,17,989000,si
M492,cama,madera,1.19,0.49,48.8,11,586000,si
M191,mesa,mixto,1.76,0.73,34.6,10,465000,no
M397,sofa,tela,2.4,0.88,80.0,11,748000,si
M337,biblioteca,madera,0.94,2.14,27.7,10,325000,no
M181,mesa,mixto,1.39,0.74,28.2,7,407000,si
M431,cama,madera,1.39,0.5,35.8,12,530000,no
M386,sofa,tela,2.38,0.91,73.1,10,861000,si
M231,estante,madera,0.61,1.64,20.1,5,144000,no
M327,biblioteca,madera,1.05,2.11,27.5,6,297000,no
M384,sofa,tela,2.5,0.88,47.9,11,831000,si
M059,silla,metal,0.55,0.97,7.6,4,130000,no
M013,silla,tela,0.47,1.05,6.3,2,100000,no
M085,escritorio,madera,1.16,0.81,29.7,6,354000,no
M262,estante,madera,1.16,1.8,11.5,4,181000,no
M213,mesa,madera,1.01,0.75,40.9,10,433000,no
M061,silla,tela,0.57,0.87,8.1,5,130000,si
M438,cama,madera,1.7,0.48,31.8,14,591000,no
M066,silla,madera,0.49,1.06,9.6,2,136000,no
M041,silla,metal,0.48,0.8,7.0,4,131000,no
M090,escritorio,madera,1.02,0.76,22.2,4,336000,no
M500,cama,madera,1.18,0.48,46.6,13,752000,no
M212,mesa,madera,1.24,0.74,28.2,8,447000,no
M316,biblioteca,madera,0.98,2.03,35.3,7,278000,no
M491,cama,madera,1.42,0.4,41.0,12,609000,si
M055,silla,madera,0.48,0.89,6.8,5,134000,no
M486,cama,tela,1.45,0.44,47.8,7,748000,no
M145,escritorio,madera,1.32,0.76,21.3,9,307000,no
M148,escritorio,madera,1.21,0.78,18.1,6,376000,no
M410,sofa,tela,2.03,0.95,76.3,16,894000,si
M092,escritorio,mixto,1.39,0.82,26.6,8,358000,no
M039,silla,tela,0.61,1.1,9.0,2,117000,no
M088,escritorio,metal,1.42,0.79,27.9,4,461000,no
M076,escritorio,madera,1.42,0.72,23.3,9,393000,no
M215,mesa,madera,1.71,0.76,36.5,10,480000,si
M343,biblioteca,metal,0.85,2.16,29.6,7,381000,si
M415,sofa,madera,2.19,0.91,69.9,11,900000,no
M275,estante,madera,0.74,1.64,13.0,5,156000,no
M339,biblioteca,mixto,0.96,2.08,33.0,12,351000,si
M198,mesa,madera,1.73,0.75,36.6,7,431000,no
M166,mesa,metal,1.24,0.77,38.7,7,529000,no
M045,silla,metal,0.5,0.88,10.9,2,144000,si
M279,estante,mixto,0.72,1.57,21.3,7,157000,no
M216,mesa,madera,1.54,0.72,44.2,6,486000,no
M444,cama,madera,1.12,0.51,38.7,12,709000,si
M107,escritorio,madera,1.43,0.82,18.5,4,403000,no
M283,estante,metal,0.93,1.9,23.7,3,199000,no
M239,estante,madera,0.85,1.9,23.0,4,180000,no
M463,cama,madera,1.32,0.55,41.0,11,640000,no
M392,sofa,tela,2.53,0.99,47.5,13,743000,si
M012,silla,tela,0.53,1.08,11.2,4,149000,no
M381,sofa,tela,1.85,0.88,48.6,14,683000,si
M121,escritorio,metal,1.59,0.7,21.4,6,501000,si
M458,cama,mixto,1.6,0.4,56.9,13,644000,si
M313,biblioteca,metal,0.89,2.08,33.5,9,278000,si
M476,cama,madera,1.35,0.4,52.1,10,746000,no
M406,sofa,tela,2.28,0.94,44.5,15,882000,si
M164,mesa,madera,1.69,0.75,36.9,5,525000,si
M402,sofa,tela,2.06,0.85,48.9,10,776000,si
M363,biblioteca,madera,0.83,2.15,22.5,7,300000,no
M418,sofa,tela,2.22,0.88,49.2,13,742000,si
M461,cama,mixto,1.96,0.38,52.5,10,784000,si
M300,estante,mixto,0.66,1.53,18.0,7,162000,no
M029,silla,tela,0.63,0.91,10.8,5,140000,no
M228,estante,madera,0.71,1.75,10.1,4,136000,no
M355,biblioteca,madera,1.02,2.11,29.9,10,264000,no
M354,biblioteca,madera,1.2,1.95,39.8,9,309000,no
M225,mesa,madera,1.37,0.75,37.2,6,503000,si
M058,silla,madera,0.64,0.99,8.0,5,138000,no
M160,mesa,madera,1.03,0.77,43.2,5,443000,si
M340,biblioteca,madera,1.04,1.82,27.8,9,280000,no
M443,cama,madera,1.53,0.5,37.2,7,690000,si
M414,sofa,madera,2.22,0.94,80.0,14,978000,no
M474,cama,madera,1.18,0.47,39.1,12,657000,no
M387,sofa,tela,2.62,0.89,56.2,14,952000,si
M398,sofa,tela,2.19,0.86,53.0,15,759000,no
M156,mesa,madera,1.05,0.73,27.1,9,376000,no
M477,cama,madera,1.95,0.37,59.6,10,609000,si
M421,sofa,tela,2.71,0.98,65.5,12,1066000,si
